	sampleGSM461176	sampleGSM461177	sampleGSM461178	sampleGSM461179	sampleGSM461180	sampleGSM461181	sampleGSM461182
ID=FBgn0000003	452	473	730	498	734	1030	268
ID=FBgn0000008	179	261	194	165	196	201	196
ID=FBgn0000014	7	0	0	3	1	1	4
ID=FBgn0000015	1	1	2	2	1	1	1
ID=FBgn0000017	9702	10088	7066	7687	6534	8085	6989
ID=FBgn0000018	421	480	516	422	530	609	601
ID=FBgn0000022	1	0	0	0	0	0	0
ID=FBgn0000024	8	6	6	6	18	9	14
ID=FBgn0000028	10	0	0	16	10	6	5
ID=FBgn0000032	914	1219	1142	989	1200	1481	1550
ID=FBgn0000036	0	0	0	4	0	6	7
ID=FBgn0000037	17	17	10	20	26	38	16
ID=FBgn0000038	0	0	0	0	0	0	1
ID=FBgn0000039	0	0	0	0	2	2	0
ID=FBgn0000042	71966	91957	90366	78204	132590	166888	113703
ID=FBgn0000043	24867	31912	30417	35468	53730	68309	35285
ID=FBgn0000044	873	108	161	1128	222	132	229
ID=FBgn0000045	125	2	13	185	26	10	13
ID=FBgn0000046	3435	493	487	3204	878	858	624
ID=FBgn0000047	665	12	11	732	31	12	19
ID=FBgn0000052	2069	3227	3230	1903	3099	3778	3189
ID=FBgn0000053	1376	2484	2536	1642	3236	4058	2413
ID=FBgn0000055	10	2	16	7	3	6	6
ID=FBgn0000056	10	2	16	7	3	6	6
ID=FBgn0000057	680	886	866	591	932	1155	806
ID=FBgn0000061	1	2	5	4	2	2	1
ID=FBgn0000063	400	429	439	425	549	675	499
ID=FBgn0000064	7593	9638	8639	8537	11190	15287	8501
ID=FBgn0000071	108	143	138	605	815	1155	82
ID=FBgn0000075	1	4	4	1	4	2	1
ID=FBgn0000077	188	247	298	186	274	371	279
ID=FBgn0000078	130	276	313	49	98	144	193
ID=FBgn0000079	214	595	489	78	239	336	310
ID=FBgn0000083	4774	7346	7415	4625	7456	9993	7644
ID=FBgn0000084	1468	2771	2675	1256	2476	3149	2380
ID=FBgn0000092	5	14	15	11	22	26	10
ID=FBgn0000094	15	34	9	37	20	20	32
ID=FBgn0000097	3517	4811	3766	3364	4220	5055	3471
ID=FBgn0000100	25631	34588	35765	20115	32694	40885	29233
ID=FBgn0000108	140	135	89	138	108	138	81
ID=FBgn0000109	122	138	187	174	115	167	241
ID=FBgn0000114	1922	241	184	4059	229	281	273
ID=FBgn0000115	565	654	663	530	717	1012	716
ID=FBgn0000116	299	586	460	594	1500	1684	479
ID=FBgn0000117	10459	13691	13003	9849	15403	19799	11652
ID=FBgn0000119	648	901	883	649	825	1029	840
ID=FBgn0000120	0	0	0	0	0	0	0
ID=FBgn0000121	12	13	6	15	9	10	10
ID=FBgn0000137	0	0	0	1	0	0	0
ID=FBgn0000139	792	823	930	534	667	921	938
ID=FBgn0000140	1045	1142	1001	1046	1338	1383	1247
ID=FBgn0000146	1430	1649	1732	2033	2435	2879	1765
ID=FBgn0000147	362	415	495	455	660	754	468
ID=FBgn0000150	6662	9872	9737	8374	12314	16179	9626
ID=FBgn0000152	391	635	606	420	690	952	680
ID=FBgn0000153	15	29	51	27	31	47	38
ID=FBgn0000157	0	0	1	0	2	0	1
ID=FBgn0000158	7	6	4	7	7	9	9
ID=FBgn0000163	1215	1798	1274	1146	1331	1622	1168
ID=FBgn0000166	10	6	2	1	0	2	1
ID=FBgn0000173	1609	1685	2040	1752	2029	2579	1911
ID=FBgn0000179	23	17	2	25	4	16	2
ID=FBgn0000180	16	30	35	20	43	46	37
ID=FBgn0000181	15419	16804	17588	11568	16110	20863	15465
ID=FBgn0000182	3	4	10	1	7	5	4
ID=FBgn0000183	2787	3333	3212	2728	3374	4230	3456
ID=FBgn0000206	0	0	0	0	0	0	0
ID=FBgn0000212	3296	4359	3764	2921	4708	6150	3829
ID=FBgn0000216	0	0	2	0	0	0	0
ID=FBgn0000221	175	282	304	154	251	305	244
ID=FBgn0000227	1	0	0	0	0	0	0
ID=FBgn0000228	973	1076	981	687	985	1261	856
ID=FBgn0000229	1009	1106	1025	1115	991	1148	1340
ID=FBgn0000233	2	0	1	2	0	2	13
ID=FBgn0000239	2654	3235	3068	2594	3212	3786	3418
ID=FBgn0000241	111	77	64	109	68	64	94
ID=FBgn0000244	614	825	560	438	520	702	669
ID=FBgn0000246	214	187	139	251	187	240	227
ID=FBgn0000247	2615	4150	3408	2161	3510	4283	3361
ID=FBgn0000250	2939	2962	2751	2260	2765	3830	2781
ID=FBgn0000251	1	7	3	4	3	6	1
ID=FBgn0000253	15507	11534	10885	15045	12075	16199	15199
ID=FBgn0000256	2361	3539	2849	1673	2337	2995	2627
ID=FBgn0000257	702	1031	981	649	1051	1339	755
ID=FBgn0000259	3119	2250	2241	2649	2249	2911	2761
ID=FBgn0000261	1930	2900	2486	1524	2306	3251	2121
ID=FBgn0000273	4106	3835	2910	3375	3153	3893	3119
ID=FBgn0000274	0	0	0	0	0	0	0
ID=FBgn0000276	47	53	71	71	84	117	195
ID=FBgn0000277	20	22	33	24	43	40	104
ID=FBgn0000278	38	57	53	24	34	54	88
ID=FBgn0000279	55	57	57	79	93	82	147
ID=FBgn0000280	0	2	0	0	6	0	1
ID=FBgn0000281	0	2	0	0	2	0	4
