,Treated_1,Treated_2,Treated_3,Untreated_1,Untreated_2,Untreated_3,Untreated_4
ID=FBgn0000003,498,734,1030,452,473,730,268
ID=FBgn0000008,165,196,201,179,261,194,196
ID=FBgn0000017,7687,6534,8085,9702,10088,7066,6989
ID=FBgn0000018,422,530,609,421,480,516,601
ID=FBgn0000032,989,1200,1481,914,1219,1142,1550
ID=FBgn0000042,78204,132590,166888,71966,91957,90366,113703
ID=FBgn0000043,35468,53730,68309,24867,31912,30417,35285
ID=FBgn0000044,1128,222,132,873,108,161,229
ID=FBgn0000046,3204,878,858,3435,493,487,624
ID=FBgn0000052,1903,3099,3778,2069,3227,3230,3189
ID=FBgn0000053,1642,3236,4058,1376,2484,2536,2413
ID=FBgn0000057,591,932,1155,680,886,866,806
ID=FBgn0000063,425,549,675,400,429,439,499
ID=FBgn0000064,8537,11190,15287,7593,9638,8639,8501
ID=FBgn0000071,605,815,1155,108,143,138,82
ID=FBgn0000077,186,274,371,188,247,298,279
ID=FBgn0000078,49,98,144,130,276,313,193
ID=FBgn0000079,78,239,336,214,595,489,310
ID=FBgn0000083,4625,7456,9993,4774,7346,7415,7644
ID=FBgn0000084,1256,2476,3149,1468,2771,2675,2380
ID=FBgn0000097,3364,4220,5055,3517,4811,3766,3471
ID=FBgn0000100,20115,32694,40885,25631,34588,35765,29233
ID=FBgn0000108,138,108,138,140,135,89,81
ID=FBgn0000109,174,115,167,122,138,187,241
ID=FBgn0000114,4059,229,281,1922,241,184,273
ID=FBgn0000115,530,717,1012,565,654,663,716
ID=FBgn0000116,594,1500,1684,299,586,460,479
ID=FBgn0000117,9849,15403,19799,10459,13691,13003,11652
ID=FBgn0000119,649,825,1029,648,901,883,840
ID=FBgn0000139,534,667,921,792,823,930,938
ID=FBgn0000140,1046,1338,1383,1045,1142,1001,1247
ID=FBgn0000146,2033,2435,2879,1430,1649,1732,1765
ID=FBgn0000147,455,660,754,362,415,495,468
ID=FBgn0000150,8374,12314,16179,6662,9872,9737,9626
ID=FBgn0000152,420,690,952,391,635,606,680
ID=FBgn0000163,1146,1331,1622,1215,1798,1274,1168
ID=FBgn0000173,1752,2029,2579,1609,1685,2040,1911
ID=FBgn0000181,11568,16110,20863,15419,16804,17588,15465
ID=FBgn0000183,2728,3374,4230,2787,3333,3212,3456
ID=FBgn0000212,2921,4708,6150,3296,4359,3764,3829
ID=FBgn0000221,154,251,305,175,282,304,244
ID=FBgn0000228,687,985,1261,973,1076,981,856
ID=FBgn0000229,1115,991,1148,1009,1106,1025,1340
ID=FBgn0000239,2594,3212,3786,2654,3235,3068,3418
ID=FBgn0000241,109,68,64,111,77,64,94
ID=FBgn0000244,438,520,702,614,825,560,669
ID=FBgn0000246,251,187,240,214,187,139,227
ID=FBgn0000247,2161,3510,4283,2615,4150,3408,3361
ID=FBgn0000250,2260,2765,3830,2939,2962,2751,2781
ID=FBgn0000253,15045,12075,16199,15507,11534,10885,15199
ID=FBgn0000256,1673,2337,2995,2361,3539,2849,2627
ID=FBgn0000257,649,1051,1339,702,1031,981,755
ID=FBgn0000259,2649,2249,2911,3119,2250,2241,2761
ID=FBgn0000261,1524,2306,3251,1930,2900,2486,2121
ID=FBgn0000273,3375,3153,3893,4106,3835,2910,3119
ID=FBgn0000283,3459,4575,5299,4671,4538,4164,4185
ID=FBgn0000286,375,488,674,624,810,610,674
ID=FBgn0000289,2783,4346,5141,3676,4760,4207,4694
ID=FBgn0000299,55487,92303,101897,42178,59778,48768,43383
ID=FBgn0000307,2310,2126,2758,2498,2616,2083,2076
ID=FBgn0000308,22077,19445,27466,24794,18575,18624,22687
ID=FBgn0000316,368,391,466,361,305,338,408
ID=FBgn0000317,1294,1804,2022,1343,1844,1642,2033
ID=FBgn0000318,1037,1366,2016,1060,1069,1250,1262
ID=FBgn0000319,13074,19620,22649,12217,18456,17120,18615
ID=FBgn0000326,300,387,443,285,350,308,288
ID=FBgn0000330,211,396,506,161,407,402,462
